timeBin,TAZ,avgWait,medianWait,numberOfPickups,avgPoolingDelay,numberOfPooledPickups
8,415.0,337.0,337.0,2,0,0
16,381.0,234.0,234.0,1,0,0
18,261.0,154.0,154.0,1,0,0
17,261.0,212.0,114.0,9,0,0
19,261.0,976.0,976.0,1,0,0
8,404.0,191.0,191.0,2,0,0
7,404.0,200.0,200.0,2,0,0
13,370.0,54.0,54.0,1,0,0
17,370.0,101.0,101.0,3,0,0
19,272.0,331.0,331.0,1,0,0
18,272.0,449.5,449.5,2,0,0
17,356.0,84.0,84.0,1,0,0
16,356.0,61.0,61.0,1,0,0
15,356.0,84.0,84.0,1,0,0
10,465.0,188.0,188.0,12,0,0
8,321.0,625.5,625.5,2,0,0
7,321.0,230.8,230.0,5,0,0
17,345.0,215.33333333333334,274.0,3,0,0
16,443.0,200.0,200.0,3,0,0
15,443.0,210.0,210.0,2,0,0
17,443.0,624.0,624.0,1,0,0
11,443.0,274.0,274.0,13,0,0
14,443.0,206.0,206.0,1,0,0
13,443.0,200.0,200.0,4,0,0
8,356.0,401.0,401.0,1,0,0
17,334.0,217.33333333333334,200.0,3,0,0
14,334.0,216.0,216.0,1,0,0
8,443.0,388.75,319.0,4,0,0
7,443.0,1440.0,1488.0,8,0,0
10,443.0,200.0,200.0,3,0,0
9,443.0,200.0,200.0,1,0,0
17,478.0,232.0,232.0,1,0,0
8,478.0,69.0,69.0,4,0,0
17,421.0,406.3333333333333,196.0,3,0,0
14,358.0,406.0,406.0,1,0,0
11,358.0,88.0,88.0,2,0,0
9,358.0,84.0,84.0,1,0,0
8,358.0,88.75,50.0,8,0,0
7,421.0,98.0,98.0,2,0,0
8,421.0,300.0,282.0,4,0,0
18,358.0,180.75,157.0,4,0,0
17,358.0,119.66666666666667,138.0,6,0,0
16,358.0,138.0,138.0,2,0,0
19,249.0,114.0,114.0,8,0,0
12,456.0,185.0,185.0,7,0,0
10,249.0,390.0,390.0,3,0,0
19,456.0,180.0,180.0,2,0,0
17,301.0,127.14285714285714,138.0,14,0,0
16,301.0,104.0,104.0,2,0,0
10,301.0,267.0,267.0,2,0,0
13,301.0,226.0,226.0,1,0,0
8,347.0,129.0,129.0,1,0,0
10,445.0,234.0,234.0,1,0,0
9,445.0,161.5,161.5,2,0,0
12,445.0,104.0,104.0,1,0,0
7,358.0,89.0,89.0,2,0,0
7,312.0,72.0,72.0,38,0,0
8,312.0,1274.1504424778761,1169.0,113,0,0
14,336.0,170.5,170.5,2,0,0
15,336.0,138.2,97.0,5,0,0
12,336.0,221.0,221.0,1,0,0
13,336.0,221.0,221.0,2,0,0
8,336.0,237.16666666666666,249.0,6,0,0
9,336.0,48.0,48.0,2,0,0
8,445.0,234.0,234.0,3,0,0
7,445.0,736.0,736.0,2,0,0
18,336.0,215.5,215.5,2,0,0
19,336.0,127.0,127.0,2,0,0
16,336.0,83.75,45.0,4,0,0
8,291.0,833.0,833.0,1,0,0
17,336.0,116.875,97.0,8,0,0
7,301.0,131.4,136.0,5,0,0
7,347.0,129.0,129.0,3,0,0
8,301.0,415.1111111111111,502.0,9,0,0
13,469.0,188.25,172.0,4,0,0
14,469.0,364.85714285714283,191.0,28,0,0
11,469.0,409.4,291.0,5,0,0
12,469.0,387.59322033898303,173.0,59,0,0
9,469.0,251.625,167.0,8,0,0
10,469.0,557.1666666666666,184.0,12,0,0
7,469.0,626.6477272727273,292.0,88,0,0
11,423.0,304.0,304.0,2,0,0
8,469.0,784.4202898550725,901.0,69,0,0
20,469.0,1236.0,1236.0,5,0,0
17,469.0,311.4117647058824,182.0,85,0,0
18,469.0,139.65,134.0,20,0,0
15,469.0,164.2134831460674,134.0,89,0,0
16,469.0,151.140350877193,134.0,57,0,0
13,461.0,674.0,674.0,5,0,0
13,398.0,231.66666666666666,234.0,6,0,0
14,461.0,59.0,59.0,1,0,0
11,461.0,110.66666666666667,63.0,12,0,0
12,461.0,682.0,682.0,3,0,0
14,398.0,133.2,123.0,5,0,0
17,398.0,230.0952380952381,174.0,21,0,0
16,398.0,174.0,174.0,2,0,0
18,398.0,170.0,168.0,3,0,0
16,450.0,133.0,133.0,1,0,0
15,450.0,46.8,8.0,5,0,0
13,363.0,156.0,156.0,2,0,0
12,363.0,176.0,176.0,1,0,0
11,363.0,132.0,132.0,1,0,0
9,363.0,68.0,68.0,1,0,0
8,363.0,241.0,130.0,3,0,0
7,363.0,232.0,232.0,2,0,0
19,341.0,44.0,44.0,4,0,0
18,341.0,362.0,362.0,1,0,0
17,341.0,434.5,434.5,2,0,0
16,341.0,294.0,357.0,4,0,0
15,341.0,75.0,75.0,1,0,0
12,450.0,105.0,105.0,3,0,0
11,450.0,8.0,8.0,5,0,0
14,450.0,8.0,8.0,1,0,0
13,450.0,150.0,150.0,4,0,0
8,450.0,490.7142857142857,459.0,14,0,0
7,450.0,334.14285714285717,373.0,7,0,0
10,450.0,61.0,61.0,1,0,0
9,450.0,248.0,248.0,1,0,0
7,398.0,178.0,174.0,5,0,0
